date,ticker,sentiment_score
2024-01-07,BAJAJFINSV.NS,0.0
2024-01-14,BAJAJFINSV.NS,-1.0
2024-01-21,BAJAJFINSV.NS,-1.0
2024-01-28,BAJAJFINSV.NS,1.0
2024-02-04,BAJAJFINSV.NS,0.0
2024-02-11,BAJAJFINSV.NS,-1.0
2024-02-18,BAJAJFINSV.NS,0.0
2024-02-25,BAJAJFINSV.NS,1.0
2024-03-03,BAJAJFINSV.NS,0.0
2024-03-10,BAJAJFINSV.NS,-1.0
2024-03-17,BAJAJFINSV.NS,0.0
2024-03-24,BAJAJFINSV.NS,1.0
2024-03-31,BAJAJFINSV.NS,0.903
2024-04-07,BAJAJFINSV.NS,1.0
2024-04-14,BAJAJFINSV.NS,0.0
2024-04-21,BAJAJFINSV.NS,-1.0
2024-04-28,BAJAJFINSV.NS,0.0
2024-05-05,BAJAJFINSV.NS,1.0
2024-05-12,BAJAJFINSV.NS,-1.0
2024-05-19,BAJAJFINSV.NS,0.999
2024-05-26,BAJAJFINSV.NS,1.0
2024-06-02,BAJAJFINSV.NS,-1.0
2024-06-09,BAJAJFINSV.NS,1.0
2024-06-16,BAJAJFINSV.NS,1.0
2024-06-23,BAJAJFINSV.NS,0.0
2024-06-30,BAJAJFINSV.NS,1.0
2024-07-07,BAJAJFINSV.NS,0.999
2024-07-14,BAJAJFINSV.NS,0.999
2024-07-21,BAJAJFINSV.NS,1.0
2024-07-28,BAJAJFINSV.NS,-1.0
2024-08-04,BAJAJFINSV.NS,0.903
2024-08-11,BAJAJFINSV.NS,-1.0
2024-08-18,BAJAJFINSV.NS,0.999
2024-08-25,BAJAJFINSV.NS,1.0
2024-09-01,BAJAJFINSV.NS,1.0
2024-09-08,BAJAJFINSV.NS,1.0
2024-09-15,BAJAJFINSV.NS,0.903
2024-09-22,BAJAJFINSV.NS,1.0
2024-09-29,BAJAJFINSV.NS,1.0
2024-10-06,BAJAJFINSV.NS,-1.0
2024-10-13,BAJAJFINSV.NS,1.0
2024-10-20,BAJAJFINSV.NS,-1.0
2024-10-27,BAJAJFINSV.NS,-1.0
2024-11-03,BAJAJFINSV.NS,0.903
2024-11-10,BAJAJFINSV.NS,0.0
2024-11-17,BAJAJFINSV.NS,-1.0
2024-11-24,BAJAJFINSV.NS,-1.0
2024-12-01,BAJAJFINSV.NS,0.0
2024-12-08,BAJAJFINSV.NS,1.0
2024-12-15,BAJAJFINSV.NS,1.0
2024-12-22,BAJAJFINSV.NS,-1.0
2024-12-29,BAJAJFINSV.NS,0.0
2025-01-05,BAJAJFINSV.NS,1.0
2025-01-12,BAJAJFINSV.NS,0.0
2025-01-19,BAJAJFINSV.NS,1.0
2025-01-26,BAJAJFINSV.NS,1.0
2025-02-02,BAJAJFINSV.NS,0.0
2025-02-09,BAJAJFINSV.NS,0.903
2025-02-16,BAJAJFINSV.NS,0.903
2025-02-23,BAJAJFINSV.NS,1.0
2025-03-02,BAJAJFINSV.NS,0.999
2025-03-09,BAJAJFINSV.NS,0.0
2025-03-16,BAJAJFINSV.NS,-1.0
2025-03-23,BAJAJFINSV.NS,1.0
2025-03-30,BAJAJFINSV.NS,0.903
2025-04-06,BAJAJFINSV.NS,-1.0
2025-04-13,BAJAJFINSV.NS,1.0
